NtsbNumber,EventDate,Vehicles.SerialNumber,Vehicles.RegistrationNumber,Vehicles.Make,Vehicles.Model,Matched_Aircraft_Model,engine_count,engine_type,JW_Score,LEV_Score,Jac_Score,SimilarityScore
era11la196,2011-03-19 14:10:00,28-24684,n7330j,piper,pa 28 140,pa 28 140,1,Piston,1.0,1.0,1.0,1.0
cen10ca550,2010-09-19 20:45:00,28-26714,n333na,piper,pa 28 140,pa 28 140,1,Piston,1.0,1.0,1.0,1.0
cen10ca547,2010-09-19 16:30:00,2842213,n436nd,piper,pa 28 161,pa 28 161,1,Piston,1.0,1.0,1.0,1.0
era10la486,2010-09-19 12:30:00,28r-7535349,n799sq,piper,pa 28r 200,pa 28r 200,1,Piston,1.0,1.0,1.0,1.0
lax04ca317,2004-09-14 08:30:00,3246185,n5300r,piper,pa 32r 301,pa 32r 301,1,Piston,1.0,1.0,1.0,1.0
cen10ca582,2010-09-17 14:00:00,301-0354,n2309f,air tractor inc,at 301,at 301,1,Piston,1.0,1.0,1.0,1.0
anc10la094,2010-09-15 18:40:00,18-7509044,n9699p,piper,pa 18,pa 18,1,Piston,1.0,1.0,1.0,1.0
anc10la094,2010-09-15 18:40:00,18-4559,n2fd,piper,pa 18,pa 18,1,Piston,1.0,1.0,1.0,1.0
ftw04la238,2004-09-14 18:15:00,31-7752154,n555mc,piper,pa 31 350,pa 31 350,2,Piston,1.0,1.0,1.0,1.0
atl04ca186,2004-09-15 10:45:00,172rg1057,n948sm,cessna,172rg,172rg,1,Piston,1.0,1.0,1.0,1.0
anc10la084,2010-09-10 18:00:00,20-324,n7414k,piper,pa 20,pa 20,1,Piston,1.0,1.0,1.0,1.0
era10ca473,2010-09-09 17:45:00,28-7890243,n2753m,piper,pa 28 181,pa 28 181,1,Piston,1.0,1.0,1.0,1.0
cen10la531,2010-09-09 12:51:00,28-8016182,n3560b,piper,pa 28 161,pa 28 161,1,Piston,1.0,1.0,1.0,1.0
wpr10ca451,2010-09-07 09:42:00,28-7510008,n32025,piper,pa 28 235,pa 28 235,1,Piston,1.0,1.0,1.0,1.0
cen10ca522,2010-09-06 15:30:00,28r-7435223,n404se,piper,pa 28r 200,pa 28r 200,1,Piston,1.0,1.0,1.0,1.0
