Column,DataType,TotalCount,NonNullCount,NumMissing,MissingPerc,Cardinality,Mode,ModeFreq,Mean,Min,Q25,Q50,Q75,Max,Std
manufacturer_code,category,2270,2270,0,0.0,35,cessna,300,,,,,,,
model_no,category,2270,2270,0,0.0,1254,nan,659,,,,,,,
model_name,category,2270,1543,727,32.03,623,Huron,15,,,,,,,
engine_count,int64,2270,2270,0,0.0,5,1,1152,1.5806167400881057,1.0,1.0,1.0,2.0,8.0,0.7213751914515262
engine_type,category,2270,2270,0,0.0,4,Piston,1242,,,,,,,
aircraft_desc,category,2270,2270,0,0.0,4,LandPlane,2171,,,,,,,
description,category,2270,2270,0,0.0,18,L1P,970,,,,,,,
wtc,category,2270,2270,0,0.0,5,L,1496,,,,,,,
tdesig,category,2270,2270,0,0.0,526,P28A,47,,,,,,,
wtg,category,2270,2267,3,0.13,9,G,1775,,,,,,,
