Column,DataType,TotalCount,NonNullCount,NumMissing,MissingPerc,Cardinality,Mode,ModeFreq,Mean,Min,Q25,Q50,Q75,Max,Std
Year,int32,249,249,0,0.0,21,2003,12,2012.879518072289,2003,2008.0,2013.0,2018.0,2023,6.002817061183462
Month,int32,249,249,0,0.0,12,1,21,6.445783132530121,1,3.0,6.0,9.0,12,3.4428034292969523
Dom_Pax,int32,249,249,0,0.0,249,2877290,1,55209709.91164659,2877290,50982170.0,56200104.0,60892131.0,75378157,10440552.116201326
Int_Pax,int32,249,249,0,0.0,249,136609,1,7392209.4377510045,136609,6395022.0,7419187.0,8567847.0,12432615,2020273.1749794339
Pax,int32,249,249,0,0.0,249,3013899,1,62601919.34939759,3013899,57664576.0,63899130.0,69447429.0,87810772,12292114.524979785
Dom_Flt,int32,249,249,0,0.0,249,217262,1,706750.7108433734,217262,662000.0,709933.0,781804.0,890938,107054.97152245716
Int_Flt,int32,249,249,0,0.0,248,63469,2,64736.17269076305,4996,61615.0,66557.0,71924.0,82681,12129.622460678896
Flt,int32,249,249,0,0.0,249,222280,1,771486.8835341366,222280,727898.0,779011.0,848650.0,964102,115686.72862850173
Dom_LF,int32,249,249,0,0.0,36,85,30,79.43775100401606,13,77.0,82.0,85.0,89,8.858494451873865
Int_LF,int32,249,249,0,0.0,41,79,23,76.81927710843374,23,76.0,79.0,82.0,89,10.877408422572431
LF,int32,249,249,0,0.0,34,83,27,78.79518072289157,13,76.0,81.0,84.0,89,8.88378239175989
