Column,DataType,TotalCount,NonNullCount,NumMissing,MissingPerc,Cardinality,Mode,ModeFreq,Mean,Min,Q25,Q50,Q75,Max,Std
Vehicles.VehicleNumber,int64,23403,23403,0,0.0,3,1,22986,1.0181173353843525,1,1.0,1.0,1.0,3,0.13560271812356778
Vehicles.DamageLevel,category,23403,23400,3,0.01,6,substantial,19718,,,,,,,
Vehicles.ExplosionType,category,23403,21880,1523,6.51,6,none,21306,,,,,,,
Vehicles.FireType,category,23403,23321,82,0.35,7,none,20993,,,,,,,
Vehicles.SerialNumber,object,23403,23283,120,0.51,21514,001,19,,,,,,,
Vehicles.Make,object,23403,23402,1,0.0,1098,cessna,8191,,,,,,,
Vehicles.Model,object,23403,23398,5,0.02,3362,172,762,,,,,,,
Vehicles.NumberOfEngines,int64,23403,23403,0,0.0,5,1,19416,1.1382301414348588,0,1.0,1.0,1.0,4,0.4221166205558236
Vehicles.RegistrationNumber,object,23403,23397,6,0.03,22386,unreg,27,,,,,,,
Vehicles.FlightOperationType,object,23403,21593,1810,7.73,22,pers,14516,,,,,,,
Vehicles.OperatorName,object,23403,11290,12113,51.76,9289,pilot,176,,,,,,,
Oid,object,23403,23403,0,0.0,22992,67ee2d96017de3d12edfdd84,3,,,,,,,
MKey,int64,23403,23403,0,0.0,22992,75336,3,84032.49754305003,56260,65775.5,82662.0,96128.0,195527,24022.367722784067
HighestInjury,category,23403,23307,96,0.41,5,none,13920,,,,,,,
NtsbNumber,object,23403,23403,0,0.0,22992,cen10fa115,3,,,,,,,
ProbableCause,object,23403,23205,198,0.85,20890,a loss of engine power for undetermined reasons.,77,,,,,,,
City,object,23403,23403,0,0.0,6092,anchorage,161,,,,,,,
Country,object,23403,23403,0,0.0,1,usa,23403,,,,,,,
EventDate,datetime64[ns],23403,23403,0,0.0,22717,2003-11-09 16:30:00,4,2012-08-07 07:34:48.078451456,2003-01-01 13:12:00,2007-05-06 02:55:00,2011-12-31 12:11:00,2017-09-27 07:47:30,2023-12-31 17:40:00,
State,object,23403,23356,47,0.2,58,ca,2244,,,,,,,
Agency,object,23403,22495,908,3.88,3,ntsb,22459,,,,,,,
EventType,category,23403,23403,0,0.0,3,acc,22679,,,,,,,
AirportId,object,23403,17179,6224,26.59,5359,none,333,,,,,,,
AirportName,object,23403,17208,6195,26.47,8774,private,187,,,,,,,
Latitude,float64,23403,23107,296,1.26,17297,33.688331,20,1941.0009378295754,13.292778,33.811668,38.608333,42.655555500000006,43511185.0,286250.45571015996
Longitude,float64,23403,23106,297,1.27,18108,-112.082496,29,-264.2089865419372,-1004241.0,-115.37187325,-95.67028,-83.05994,174.12416,12457.7424034804
TotalInjuryCount,int64,23403,23403,0,0.0,33,0,14001,0.7637055078408751,0,0.0,0.0,1.0,190,2.2193923867526424
