Column,DataType,TotalCount,NonNullCount,NumMissing,MissingPerc,Cardinality,Mode,ModeFreq,Mean,Min,Q25,Q50,Q75,Max,Std
AccidentID,object,672,672,0,0.0,28,anc24la011_2023-12-23_20.893719_-156.45548,24,,,,,,,
time,datetime64[ns],672,672,0,0.0,336,2023-12-18 00:00:00,4,2023-12-22 11:30:00,2023-12-14 00:00:00,2023-12-18 05:45:00,2023-12-21 07:30:00,2023-12-27 05:15:00,2023-12-31 23:00:00,
temperature_2m,float64,672,672,0,0.0,272,1.1,10,6.508035714285714,-11.7,0.6,5.8,11.3,26.3,7.599128960903704
relative_humidity_2m,int32,672,672,0,0.0,70,74,22,70.39880952380952,28,59.0,73.0,83.0,100,16.069016527849747
dew_point_2m,float64,672,672,0,0.0,234,-2.4,12,1.0837797619047618,-18.1,-2.5,-0.2,3.725,19.2,7.3540922232674655
pressure_msl,float64,672,672,0,0.0,233,1021.8,10,1021.0575892857142,1007.3,1016.7,1020.8,1024.3,1041.7,6.618587079199915
surface_pressure,float64,672,672,0,0.0,431,1004.3,6,980.953869047619,806.6,972.4,996.25,1009.3,1029.2,48.30411623471448
precipitation,float64,672,672,0,0.0,7,0.0,648,0.0071428571428571435,0.0,0.0,0.0,0.0,0.9,0.05071345359106415
rain,float64,672,672,0,0.0,4,0.0,657,0.002976190476190476,0.0,0.0,0.0,0.0,0.3,0.021633983417786027
snowfall,float64,672,672,0,0.0,6,0.0,663,0.002916666666666667,0.0,0.0,0.0,0.0,0.63,0.03229621039936346
cloud_cover,int64,672,672,0,0.0,79,0,251,39.28422619047619,0,0.0,11.0,98.0,100,44.27765519227279
cloud_cover_low,int32,672,672,0,0.0,67,0,442,14.779761904761905,0,0.0,0.0,7.0,100,31.406127833864048
cloud_cover_mid,int32,672,672,0,0.0,66,0,491,12.099702380952381,0,0.0,0.0,1.0,100,28.786337625520137
cloud_cover_high,int32,672,672,0,0.0,67,0,411,24.053571428571427,0,0.0,0.0,37.5,100,39.25608672423923
wind_speed_10m,float64,672,672,0,0.0,229,7.2,13,11.983184523809523,0.4,7.2,10.5,16.1,38.0,6.679699876477964
wind_speed_100m,float64,672,672,0,0.0,319,14.5,7,20.03735119047619,0.4,11.174999999999999,20.25,27.4,51.8,10.413629759917075
wind_direction_10m,int32,672,672,0,0.0,267,81,10,203.89285714285714,3,110.0,231.0,292.0,360,101.56708255576034
wind_direction_100m,int32,672,672,0,0.0,283,360,10,204.2782738095238,1,113.0,221.5,297.0,360,103.85083997701156
wind_gusts_10m,float64,672,672,0,0.0,135,15.5,17,22.658482142857142,3.2,13.7,20.9,29.5,70.9,11.748630998143152
weather_code,int32,672,672,0,0.0,7,0,365,3.1860119047619047,0,0.0,0.0,3.0,73,10.988935534919522
snow_depth,float64,672,672,0,0.0,7,0.0,504,0.012321428571428573,0.0,0.0,0.0,0.005,0.1,0.025907624832927214
