original_make,standardized_make
cirrus design corp,cirrus design corp
golden avio s r l,golden avio s r l
piper aircraft inc,piper aircraft inc
bellanca,bellanca
maule,maule
piper,piper aircraft inc
progressive aerodyne inc,progressive aerodyne inc
cessna,cessna
taylorcraft,taylorcraft
hawker beechcraft corp,hawker beechcraft corp
diamond aircraft ind inc,diamond aircraft ind inc
mooney,mooney
boeing,boeing
aero commander,aero commander
beech,beech
pilatus,pilatus
robinson helicopter,robinson helicopter
remos aircraft gmbh,remos aircraft gmbh
textron aviation inc,textron aviation inc
raytheon aircraft company,raytheon aircraft company
stinson,stinson
socata,socata
aeronca,aero commander
flight design gmbh,flight design gmbh
icp srl,icp srl
xtremeair gmbh,xtremeair gmbh
grumman american avn. corp.,grumman american avn. corp.
ag-cat corporation,ag-cat corporation
airbus,airbus
gulfstream aerospace,gulfstream aerospace
air tractor inc,air tractor inc
aviat,aviat
dehavilland,dehavilland
tecnam,tecnam
cirrus,cirrus design corp
czech aircraft works spol sro,czech aircraft works spol sro
monocoupe,monocoupe
fairchild,fairchild
cubcrafters inc,cubcrafters inc
aviat aircraft inc,aviat
costruzioni aeronautiche tecna,costruzioni aeronautiche tecna
champion,champion
smith william s,smith william s
luscombe,luscombe
embraer s a,embraer s a
north american,north american
liore et oliver,liore et oliver
helio,helio
ercoupe,ercoupe
thrush aircraft llc,thrush aircraft llc
piper/gerbi charles r,piper/gerbi charles r
american champion aircraft,american champion aircraft
remos,remos aircraft gmbh
bell helicopter textron canada,bell helicopter textron canada
van's aircraft,van's aircraft
ayres corporation,ayres corporation
zlin aviation s r o,zlin aviation s r o
airbus sas,airbus
nanchang china,nanchang china
diamond,diamond aircraft ind inc
schweizer aircraft corp,schweizer aircraft corp
israel aircraft industries,israel aircraft industries
waco,waco
irwin jeffrey c,irwin jeffrey c
embraer,embraer s a
mikoyan gurevich,mikoyan gurevich
scoda aeronautica ltda,scoda aeronautica ltda
remos acft gmbh flugzeugbau,remos aircraft gmbh
taylorcraft aviation corp.,taylorcraft
van grouw r / cantrell l,van grouw r / cantrell l
grumman acft eng cor-schweizer,grumman acft eng cor-schweizer
air tractor,air tractor inc
czech sport aircraft,czech sport aircraft
george stone,george stone
varga aircraft corp.,varga aircraft corp.
grumman,grumman american avn. corp.
pollock michael d,pollock michael d
douglas,douglas
sling aircraft (pty) ltd,sling aircraft (pty) ltd
mariner,mariner
aerofab,aerofab
pipistrel lsa s r l,golden avio s r l
vickers-armstrong ltd,vickers-armstrong ltd
found,found
berkut,berkut
icon,icon
curtiss wright,curtiss wright
sharp glennis,sharp glennis
buck/crawford/crawford,buck/crawford/crawford
volato,volato
compagnie daher,compagnie daher
dassault-breguet,dassault-breguet
pitts,pitts
temco,temco
rockwell international,rockwell international
airbus industrie,airbus
rockwell international corp,rockwell international
pipistrel doo ajdovscina,pipistrel doo ajdovscina
piaggio aero industries spa,piaggio aero industries spa
nanchang,nanchang china
american,american champion aircraft
gulfstream-schweizer a/c corp,gulfstream aerospace
commander aircraft co,commander aircraft co
viking air limited,viking air limited
north american-buehn,north american
silvaire,silvaire
honda aircraft co llc,honda aircraft co llc
gates lear jet,gates lear jet
universal,universal
mooney aircraft corp.,mooney
pool cessna,pool cessna
ely john m,ely john m
gulfstream american corp,gulfstream aerospace
aero vodochody,aero vodochody
gulfstream aerospace corp,gulfstream aerospace
gilbert r. ringer,gilbert r. ringer
gates learjet corp.,gates lear jet
vashon aircraft,van's aircraft
globe,globe
pipistrel lsa srl,pipistrel lsa srl
ryan,ryan
aeropilot s r o,zlin aviation s r o
diamond aircraft ind gmbh,diamond aircraft ind inc
keskimaki charles a,keskimaki charles a
s c aerostar s a,s c aerostar s a
navion,navion
yakovlev,yakovlev
bombardier inc,bombardier inc
learjet inc,learjet inc
aircraft mfg & development co,aircraft mfg & development co
jabiru usa sport aircraft llc,jabiru usa sport aircraft llc
gates learjet corp,gates lear jet
cub crafters inc,cubcrafters inc
world aircraft co,world aircraft co
quad city,quad city
embraer executive aircraft inc,embraer executive aircraft inc
grumman american,grumman american avn. corp.
vans,vans
arado-flugzeugwerke gmbh,arado-flugzeugwerke gmbh
orlican s r o,zlin aviation s r o
engineering & research,engineering & research
gates lear jet corp.,gates lear jet
phantom aeronautics,phantom aeronautics
extra,extra
antonov,antonov
bell,bellanca
pipistrel d o o,pipistrel doo ajdovscina
american aviation,american champion aircraft
eclipse aerospace inc,eclipse aerospace inc
hawker beechcraft,hawker beechcraft corp
aeroprakt manufacturing sp zoo,aeroprakt manufacturing sp zoo
howard aircraft,howard aircraft
cub crafters,cubcrafters inc
taylorcraft aviation corp,taylorcraft
mary alexander,mary alexander
arter warren,arter warren
aerovodochody,aero vodochody
sonex aircraft,sonex aircraft
kumhyr david b,kumhyr david b
waco classic aircraft corp,waco classic aircraft corp
cirrus aircraft,cirrus aircraft
diamond aircraft industries,diamond aircraft ind inc
christen industries inc,christen industries inc
flight design general avn gmbh,flight design gmbh
boeing (stearman),boeing
diamond aircraft,diamond aircraft ind inc
aerotek,aerotek
eads socata,eads socata
smith,smith william s
beechcraft,beech
casa,casa
consolidated aeronautics inc.,consolidated aeronautics inc.
air tractor inc.,air tractor inc
de havilland,dehavilland
weatherly aviation co inc,weatherly aviation co inc
waco classic aircraft,waco classic aircraft corp
miller-thorp,miller-thorp
vulcanair,vulcanair
easter william c,easter william c
flightstar inc,flightstar inc
piper aircraft corporation,piper aircraft inc
piper/cub crafters,piper/cub crafters
arion,arion
extra flugzeugbau gmbh,extra flugzeugbau gmbh
kakeldey ronald o,kakeldey ronald o
gmk ventures llc,gmk ventures llc
magnaghi aeronautica spa,magnaghi aeronautica spa
james c geyman,james c geyman
bucker,bucker
mcdonnell douglas,mcdonnell douglas
hawker,hawker beechcraft corp
meyers industries inc,meyers industries inc
pepperd greg j,pepperd greg j
amd,amd
short bros. & harland,short bros. & harland
czech sport aircraft a s,czech aircraft works spol sro
bombardier,bombardier inc
shea,shea
meyer fred j,meyer fred j
cessna aircraft co.,cessna
foster william d,foster william d
grumman american avn. corp,grumman american avn. corp.
co-z development corp,co-z development corp
mx aircraft llc,mx aircraft llc
textron aviation,textron aviation inc
sparks ralph a,sparks ralph a
quicksilver aircraft co,quicksilver aircraft co
thrush aircraft inc,thrush aircraft llc
mitsubishi,mitsubishi
swearingen,swearingen
thrush,thrush aircraft llc
short bros,short bros. & harland
superior,superior
piper-harris,piper/gerbi charles r
dietrich ryan,dietrich ryan
pf cub flyers llc,pf cub flyers llc
cessna aircraft co,cessna
fernandes dale r,fernandes dale r
fpna,fpna
downer,downer
airplane factory (pty) ltd,airplane factory (pty) ltd
paradise aircraft usa llc,paradise aircraft usa llc
newell michael j,newell michael j
czech sport aircraft as,czech aircraft works spol sro
tuttle bruce c,tuttle bruce c
honda jet,honda jet
liberty aerospace incorporated,liberty aerospace incorporated
darrell d. dugger,darrell d. dugger
mckenzie john p,mckenzie john p
american legend aircraft co,american champion aircraft
britten-norman,britten-norman
pilatus aircraft ltd,pilatus
great lakes,great lakes
dassault aviation,dassault aviation
universal stinson,universal
leach michael,leach michael
walter tachiki,walter tachiki
2021fx3 llc,2021fx3 llc
gates learjet corporation,gates lear jet
dudek paragliders,dudek paragliders
aerofab inc,aerofab
piper aircraft,piper aircraft inc
monte clark,monte clark
travel air,travel air
canadair,canadair
found acft canada inc,found acft canada inc
alon,alon
cubcrafters,cubcrafters inc
iai,iai
maxair,maxair
eric a munzer,eric a munzer
cessna/air repair inc,cessna
santa fe aircraft llc,santa fe aircraft llc
vans aircraft inc,van's aircraft
hall terrence / hall cathie,hall terrence / hall cathie
rockwell,rockwell international
lancair,vulcanair
wsk-mielec,wsk-mielec
unknown,unknown
avid,avid
flight design,flight design gmbh
dassault,dassault-breguet
interstate,interstate
robinson helicopter company,robinson helicopter
kitfox,kitfox
gordon scot a,gordon scot a
quad city ultralight,quad city
columbia aircraft mfg,columbia aircraft mfg
stout garry v,stout garry v
alaskan air adventures llc,alaskan air adventures llc
lake,lake
liteflite pty ltd,liteflite pty ltd
weiss denis,weiss denis
kuykendall charles,kuykendall charles
siai-marchetti,siai-marchetti
dehavilland canada,dehavilland
pzl mielec,pzl mielec
just aircraft llc,just aircraft llc
bailey n moyes,bailey n moyes
payne steven r,payne steven r
davidson larry r,davidson larry r
scott mills,scott mills
quest aircraft company llc,quest aircraft company llc
focke-wulf,focke-wulf
earthstar aircraft,earthstar aircraft
curnutt elton e,curnutt elton e
feraca edward m,feraca edward m
dewsnup dave,dewsnup dave
ware jerry l,ware jerry l
pzl warszawa-okecie,pzl warszawa-okecie
maxson phil,maxson phil
pipistrel,pipistrel doo ajdovscina
robert trembly,robert trembly
stearman aircraft,stearman aircraft
ted smith,ted smith
israel aerospace industries ltd,israel aircraft industries
jabiru aircraft pty ltd,jabiru usa sport aircraft llc
aeropro cz s r o,zlin aviation s r o
consolidated vultee,consolidated aeronautics inc.
davis donald m,davidson larry r
rowe dennis a,rowe dennis a
magnus aircraft llc,magnus aircraft llc
jabiru usa sport aircraft,jabiru usa sport aircraft llc
aviat inc,aviat
davis dan b,davidson larry r
burg frederick s,burg frederick s
aermacchi,aermacchi
learjet,learjet inc
velocity,velocity
jabiru,jabiru
randy wayne maloney,randy wayne maloney
tl ultralight sro,tl ultralight sro
kolb,kolb
mooney international corp,mooney international corp
quad city aircraft corp,quad city
express,express
raytheon,raytheon aircraft company
extra flugzeugproduktions-und,extra flugzeugproduktions-und
eclipse,eclipse aerospace inc
cirrus design corp.,cirrus design corp
american legend,american legend
republic,republic
zlin aviation,zlin aviation s r o
remos aircraft gmbh flugzeugbau,remos aircraft gmbh
aero bristell,aerotek
czech,czech sport aircraft
rans,ryan
evolution,evolution
fokker,fokker
team rockets,team rockets
quicksilver,quicksilver aircraft co
ayres,ayres corporation
stearman,stearman aircraft
pilatus aircraft,pilatus
bird,bird
cessna ector,cessna
northrop,northrop
performer,performer
greg miller,greg miller
american eurocopter,american legend
quest,quest
furlong,furlong
britten norman,britten-norman
golden circle air,golden circle air
evektor aerotechnik,evektor aerotechnik
coyote,coyote
sonex,sonex aircraft
omf,omf
vaughn,vaughn
n126c llc,n126c llc
m-squared,m-squared
dayton-wright,dayton-wright
keuthan aircraft corp,keuthan aircraft corp
aerostar,aerofab
flightstar,flightstar inc
eagle,eagle
pipistrel italia srl,pipistrel lsa srl
american legand aircraft,american champion aircraft
zenair,zenair
commander,commander aircraft co
orlican,orlican
piaggio,piaggio aero industries spa
aeropro cz,aeropro cz
glasair,glasair
gulfstream,gulfstream aerospace
airborne,airborne
eipper,eipper
john sample,john sample
javron,javron
bae,bae
symphony aircraft ind inc,symphony aircraft ind inc
higgins john h/williams john d,higgins john h/williams john d
saab,saab
weatherly,weatherly aviation co inc
wingtip to wingtip llc,wingtip to wingtip llc
zenith,zenith
honda aircraft,honda aircraft co llc
reed mike,reed mike
thomas lee,thomas lee
pzl okecie,pzl mielec
convair,convair
jackson,jackson
lockheed,lockheed
scoda aeronautical,scoda aeronautica ltda
fantasy air,fantasy air
moth aircraft corp,moth aircraft corp
culver,culver
valldejuli john a,valldejuli john a
aeros ltd,aerotek
skybolt,skybolt
howard steven c,howard steven c
david s meek,david s meek
ratheon aircraft company,raytheon aircraft company
jihlavan airplanes sro,jihlavan airplanes sro
vought,vought
hawker siddeley,hawker siddeley
gippsland,gippsland
storch,storch
morrison rocky v,morrison rocky v
porterfield,porterfield
stol aircraft corp,moth aircraft corp
rutan,rutan
zlin,zlin
czech sport,czech sport aircraft
brm aero,brm aero
silveira jonathan a,silvaire
scottish aviation,scottish aviation
ultralite sro,ultralite sro
airplane factory,airplane factory (pty) ltd
howard,howard aircraft
halladay roy,halladay roy
wsk pzl mielec,wsk pzl mielec
apollo aircraft inc,apollo aircraft inc
rose,rose
classic aircraft corp,classic aircraft corp
aeroprakt,aerofab
rgj aviation llc,rgj aviation llc
dornier gmbh,dornier gmbh
gippsaero pty ltd,gippsaero pty ltd
fairchild(howard),fairchild
lite flight,lite flight
m-squared aircraft,m-squared
zenair ltd,zenair
pphu ekolot,pphu ekolot
gulfstream am corp comm div,gulfstream aerospace
flightworks corp,flightworks corp
fairchild funk,fairchild
soko,soko
oliver lawrence r,oliver lawrence r
quartz mountain aerospace,quartz mountain aerospace
